time,y,x,lon,lat,wind
2005-01-01 04:00:00,47.0,1.25,1.25,47.0,0.11807512494790619
2005-01-01 04:00:00,47.0,1.5,1.5,47.0,0.12267336289889524
2005-01-01 04:00:00,47.0,1.75,1.75,47.0,0.11847535071231338
2005-01-01 04:00:00,47.0,2.0,2.0,47.0,0.11831662810874179
2005-01-01 04:00:00,46.75,1.0,1.0,46.75,0.1130561463205441
2005-01-01 04:00:00,46.75,1.25,1.25,46.75,0.11167576062228118
2005-01-01 04:00:00,46.75,1.5,1.5,46.75,0.1219325393371351
2005-01-01 04:00:00,46.75,1.75,1.75,46.75,0.13273901759744305
2005-01-01 04:00:00,46.75,2.0,2.0,46.75,0.1449173619285749
2005-01-01 04:00:00,46.5,1.0,1.0,46.5,0.11043345698536582
2005-01-01 04:00:00,46.5,1.25,1.25,46.5,0.11106857468797257
2005-01-01 04:00:00,46.5,1.5,1.5,46.5,0.11861712080281159
2005-01-01 04:00:00,46.5,1.75,1.75,46.5,0.12906097939822514
2005-01-01 04:00:00,46.5,2.0,2.0,46.5,0.13581552200425703
2005-01-01 04:00:00,46.25,1.0,1.0,46.25,0.0968994030583457
2005-01-01 04:00:00,46.25,1.25,1.25,46.25,0.09521071849111079
2005-01-01 04:00:00,46.25,1.5,1.5,46.25,0.09593688210032952
2005-01-01 04:00:00,46.25,1.75,1.75,46.25,0.10802185276359366
2005-01-01 04:00:00,46.25,2.0,2.0,46.25,0.1174555500626833
2005-01-01 04:00:00,46.0,1.0,1.0,46.0,0.07607096750125474
2005-01-01 04:00:00,46.0,1.25,1.25,46.0,0.07006342661638834
2005-01-01 04:00:00,46.0,1.5,1.5,46.0,0.05472369704174394
2005-01-01 04:00:00,46.0,1.75,1.75,46.0,0.0682933817707714
2005-01-01 04:00:00,46.0,2.0,2.0,46.0,0.07920964225258822
2005-01-01 05:00:00,48.0,1.0,1.0,48.0,0.05574423545752236
2005-01-01 05:00:00,48.0,1.25,1.25,48.0,0.04198690093626228
2005-01-01 05:00:00,48.0,1.5,1.5,48.0,0.02952236483582121
2005-01-01 05:00:00,48.0,1.75,1.75,48.0,0.02494050707087216
2005-01-01 05:00:00,48.0,2.0,2.0,48.0,0.02094756653927682
2005-01-01 05:00:00,47.75,1.0,1.0,47.75,0.08116596325736664
2005-01-01 05:00:00,47.75,1.25,1.25,47.75,0.06322033377078971
2005-01-01 05:00:00,47.75,1.5,1.5,47.75,0.04509307939381077
2005-01-01 05:00:00,47.75,1.75,1.75,47.75,0.03451023123645959
2005-01-01 05:00:00,47.75,2.0,2.0,47.75,0.028624461239434733
2005-01-01 05:00:00,47.5,1.0,1.0,47.5,0.09383687008222222
2005-01-01 05:00:00,47.5,1.25,1.25,47.5,0.08504832221731243
2005-01-01 05:00:00,47.5,1.5,1.5,47.5,0.06698637996495085
2005-01-01 05:00:00,47.5,1.75,1.75,47.5,0.05222464352234236
2005-01-01 05:00:00,47.5,2.0,2.0,47.5,0.04272513110446143
2005-01-01 05:00:00,47.25,1.0,1.0,47.25,0.11283140846294422
2005-01-01 05:00:00,47.25,1.25,1.25,47.25,0.10223878897807884
2005-01-01 05:00:00,47.25,1.5,1.5,47.25,0.08998111055736349
2005-01-01 05:00:00,47.25,1.75,1.75,47.25,0.085609117313425
2005-01-01 05:00:00,47.25,2.0,2.0,47.25,0.07062681650151847
2005-01-01 05:00:00,47.0,1.0,1.0,47.0,0.11639712474349005
2005-01-01 05:00:00,47.0,1.25,1.25,47.0,0.11690813755314651
2005-01-01 05:00:00,47.0,1.5,1.5,47.0,0.12064411087507328
2005-01-01 05:00:00,47.0,1.75,1.75,47.0,0.11544695698063767
2005-01-01 05:00:00,47.0,2.0,2.0,47.0,0.11537311019801767
2005-01-01 05:00:00,46.75,1.0,1.0,46.75,0.10749922299171859
2005-01-01 05:00:00,46.75,1.25,1.25,46.75,0.10688302726078883
2005-01-01 05:00:00,46.75,1.5,1.5,46.75,0.11524179039977382
2005-01-01 05:00:00,46.75,1.75,1.75,46.75,0.1266736465742433
2005-01-01 05:00:00,46.75,2.0,2.0,46.75,0.1401152706299431
2005-01-01 05:00:00,46.5,1.0,1.0,46.5,0.10203722713682964
2005-01-01 05:00:00,46.5,1.25,1.25,46.5,0.10285419824436477
2005-01-01 05:00:00,46.5,1.5,1.5,46.5,0.10943130040566859
2005-01-01 05:00:00,46.5,1.75,1.75,46.5,0.1236208148329922
2005-01-01 05:00:00,46.5,2.0,2.0,46.5,0.13432651571411128
2005-01-01 05:00:00,46.25,1.0,1.0,46.25,0.09439273485666125
2005-01-01 05:00:00,46.25,1.25,1.25,46.25,0.0937282440776957
2005-01-01 05:00:00,46.25,1.5,1.5,46.25,0.09569860510509869
2005-01-01 05:00:00,46.25,1.75,1.75,46.25,0.11079011878744732
2005-01-01 05:00:00,46.25,2.0,2.0,46.25,0.12283038748627433
2005-01-01 05:00:00,46.0,1.0,1.0,46.0,0.07713900501803315
2005-01-01 05:00:00,46.0,1.25,1.25,46.0,0.07329356593224923
2005-01-01 05:00:00,46.0,1.5,1.5,46.0,0.06233165326878829
2005-01-01 05:00:00,46.0,1.75,1.75,46.0,0.0754630066371649
2005-01-01 05:00:00,46.0,2.0,2.0,46.0,0.08874139143979966
2005-01-01 06:00:00,48.0,1.0,1.0,48.0,0.07895542424881555
2005-01-01 06:00:00,48.0,1.25,1.25,48.0,0.06255163052979862
2005-01-01 06:00:00,48.0,1.5,1.5,48.0,0.04341214661042473
2005-01-01 06:00:00,48.0,1.75,1.75,48.0,0.03500459099328029
2005-01-01 06:00:00,48.0,2.0,2.0,48.0,0.0274668144850317
2005-01-01 06:00:00,47.75,1.0,1.0,47.75,0.10322186607874373
2005-01-01 06:00:00,47.75,1.25,1.25,47.75,0.08379274881280255
2005-01-01 06:00:00,47.75,1.5,1.5,47.75,0.059409350729414195
2005-01-01 06:00:00,47.75,1.75,1.75,47.75,0.045141327634794795
2005-01-01 06:00:00,47.75,2.0,2.0,47.75,0.0355093762533978
2005-01-01 06:00:00,47.5,1.0,1.0,47.5,0.11180312167005903
2005-01-01 06:00:00,47.5,1.25,1.25,47.5,0.10377954823728734
2005-01-01 06:00:00,47.5,1.5,1.5,47.5,0.08270444410627988
2005-01-01 06:00:00,47.5,1.75,1.75,47.5,0.06363914406935041
2005-01-01 06:00:00,47.5,2.0,2.0,47.5,0.04979420718216463
2005-01-01 06:00:00,47.25,1.0,1.0,47.25,0.12544883551748173
2005-01-01 06:00:00,47.25,1.25,1.25,47.25,0.11765732201924883
2005-01-01 06:00:00,47.25,1.5,1.5,47.25,0.10283747235036664
2005-01-01 06:00:00,47.25,1.75,1.75,47.25,0.09736911117042718
2005-01-01 06:00:00,47.25,2.0,2.0,47.25,0.07757666289061338
2005-01-01 06:00:00,47.0,1.0,1.0,47.0,0.12435114879806311
2005-01-01 06:00:00,47.0,1.25,1.25,47.0,0.12554917102063853
2005-01-01 06:00:00,47.0,1.5,1.5,47.0,0.12957518180891417
2005-01-01 06:00:00,47.0,1.75,1.75,47.0,0.12345127001274295
2005-01-01 06:00:00,47.0,2.0,2.0,47.0,0.12166493920339488
2005-01-01 06:00:00,46.75,1.0,1.0,46.75,0.11236332343156166
2005-01-01 06:00:00,46.75,1.25,1.25,46.75,0.11165454581772016
2005-01-01 06:00:00,46.75,1.5,1.5,46.75,0.12196176191472605
2005-01-01 06:00:00,46.75,1.75,1.75,46.75,0.13320921100253114
2005-01-01 06:00:00,46.75,2.0,2.0,46.75,0.14684894367096538
2005-01-01 06:00:00,46.5,1.0,1.0,46.5,0.10574057797955169
2005-01-01 06:00:00,46.5,1.25,1.25,46.5,0.1055713402153869
2005-01-01 06:00:00,46.5,1.5,1.5,46.5,0.11091920784493074
2005-01-01 06:00:00,46.5,1.75,1.75,46.5,0.12282754152328061
2005-01-01 06:00:00,46.5,2.0,2.0,46.5,0.13152212995903156
2005-01-01 06:00:00,46.25,1.0,1.0,46.25,0.09598899245850905
